date,number
2017-11,22703
2017-10,27621
2017-09,24884
2017-08,30692
2017-07,29378
2017-06,24077
2017-05,26397
2017-04,26504
2017-03,22624
2017-02,25525
2017-01,24756
2016-12,20768
2016-11,20409
2016-10,25001
2016-09,23918
2016-08,28007
2016-07,26818
2016-06,23200
2016-05,22886
2016-04,23900
2016-03,21242
2016-02,24112
2016-01,21161
2015-12,18200
2015-11,18816
2015-10,22686
2015-09,21802
2015-08,25539
2015-07,24776
2015-06,20614
2015-05,21219
2015-04,21091
2015-03,21554
2015-02,19290
2015-01,17850
2014-12,22427
